Author,Location,Date,Comment,Stars
Brian,"Aurora, IN","Reviewed Feb. 12, 2023","Been using Quicken since the early 90's. It has steadily gotten worse over the years. Seems like all they care about is raising and collecting the now, annual, subscription fee. Several times a year, I am unable to download transactions from my bank for weeks to a month at times. Quicken blames the bank, the bank blames Quicken, however, the consumer pays the ultimate price. Paying for a service that doesn't work is not good business practice. I am currently looking into alternatives to Quicken or just simply using my bank's website.",1
William,"Vernon, NJ","Reviewed Jan. 27, 2023",Rocket Mortgage made the mortgage application extremely easy from start to closing. My loan officers were always in contact with me and provided support throughout the process. I would recommend Rocket Mortgage to anyone that is in need of a mortgage. Thank you.,5
Mark,"Tilton, IL","Reviewed Jan. 25, 2023",They kept us informed throughout the process and answered any questions we had. Everything was pretty easy to understand. Everyone from beginning to signing final papers was helpful and friendly. We could download forms and send required information without any issues.,5
Greg,"Mchenry, IL","Reviewed Dec. 15, 2022","Working with Duane, Josh, Kesha, and Slaven was incredible. They were knowledgeable, professional, and efficient. The website made it easy to upload/download documents and it was easy to navigate. It was a pleasure working with all of them and I would recommend Rocket to others looking for a mortgage.",5
Stephen,"Los Angeles, CA","Reviewed Dec. 9, 2022",Ashley was awesome and Rocket Mortgage was great!! It was painless and fast. I cannot say enough good things about my experience. The whole process took less than 30 days to close from calling Ashley to closing. I will be using Rocket again if I ever need to purchase or refinance again!,5
Kendall,"Spring Hill, FL","Reviewed Dec. 7, 2022","My Rocket team went above and beyond from getting me prequalified, to locking in my rate, to expediting inspections so that I could close on my new house in the shortest time. Definitely will be using them in the future for any new purchase or refinance.",5
Cheryl,"Ben Lomond, CA","Reviewed Dec. 4, 2022",My experience with Rocket Mortgage in refinancing my mortgage was outstanding. Tarick ** was exceptional and very professional. He explained the process clearly. All the staff I dealt with were very helpful. The whole process only took several weeks. I appreciate the great customer service.,5
Anthony,"Poplar Grove, IL","Reviewed Nov. 25, 2022","We had absolutely no trouble with the loan process. It was quick and easy. We would recommend Quicken Loans to anyone looking to borrow money. We were shown, in our opinion, the highest courtesy that could be shown. We never once felt we were being pressured into anything we didn't want.",5
Justin,"Pell City, AL","Reviewed Nov. 23, 2022","Tyler ** was our banker and was excellent to work with! He understood our numbers and worked timely on everything we needed to get done! The entire team at Rocket Mortgage was a pleasure to work with! Everything was explained thoroughly and if we had any questions, they were answered timely and in detail!",5
William,"Kerrville, TX","Reviewed Nov. 23, 2022",Everyone I worked with was extremely helpful and helpful. Renee was the best to work with. Extremely helpful and very pleasant to work with. She helped me save a ton of money having me get quotes for insurance on house and auto. I was extremely impressed at the prompt service we received. I want to thank the entire team.,5
Ricardo A.,"Harlingen, TX","Reviewed Nov. 18, 2022","Quick and simple. The account representative that helped us out and walked us through it all was very professional and efficient. The process was so easy and quick. Even the local closing attorney was extremely courteous and professional. The paperwork was all filed and received as promised. Yes, I highly recommend your company.",5
Marnita,"Center Point, IA","Reviewed Nov. 8, 2022","The staff I worked with were friendly, and easy to work with. I was kept up to date on the steps I needed to have done. Along with how far I was in the process. The person I was given for my closing was nice and very friendly.",4
Carol,"Henderson, KY","Reviewed Nov. 8, 2022","Rocket Mortgage was great from beginning to end with my refinance. The process was fast and efficient. 99% was done online which is so convenient. My banker, Matt, stayed in contact but did not over assert himself. I would highly recommend Rocket Mortgage for any of your home purchasing needs.",5
Cheryl,"Ypsilanti, MI","Reviewed Nov. 6, 2022",The Rocket Home and Mortgage service was excellent! The team that was assigned to me answered all my questions and directed me through the entire process of both selling and purchasing a new home. Clay the financial lead ensured things stayed on track and communicated next steps throughout the entire process. The team was a pleasure to work with.,5
Donna,"Eunice, LA","Reviewed Nov. 2, 2022","Folks were nice, professional, helpful. We were able to get money to pay off bills as part of the refinance, that is why we wanted to refinance. It was a higher Interest rate than we had but we were assured we could lower it later when rates came back down. Our only problem was the ""cost"" to do this seemed high. We wanted to stay with You, so even though the cost was less elsewhere, we stayed with you.",4
George,"Elberta, AL","Reviewed Nov. 1, 2022","My experience with Rocket Loans in 2022 was a lot different than my experience in 2017 and not in a good way. Our loan was held up as the wrong type of inspection was ordered, an inspector was here for 6 hours on a Sunday, she even said she didn't know why they ordered that type of inspection, then we were lied to and told that it wasn't accepted because we didn't let them take pics of our son's bedrooms as he was sick having his wisdom teeth just removed, the person who did the 6 hour inspection told us the truth that Rocket told them they ordered the wrong type inspection and needed a traditional inspection, this had us very angry that we were lied to and it also made our loan take longer than it should have, we almost pulled out and went with another lender, but didn't want to lose even more time. Jennifer was wonderful though, was not her fault.",3
Linda,"Bellerose, NY","Reviewed Oct. 31, 2022","This was my fourth experience with a refinance and by far the easiest and quickest process to date. The person who handled my account was very knowledgeable and accessible and answered all my questions. 99% was done remotely. Their portal was very user friendly! My circumstances were challenging, and they went above and beyond to get me to closing. Closing was at my home and took 30 minutes tops! The customer service is exceptional.",5
Nilsa E,"Gray, GA","Reviewed Oct. 25, 2022","Rocket Mortgage Rocks. The process was effortless and we closed within two months. The Reps we dealt with were on point. Thank you Jessica and Thank you Nick! Yes, we would use Rocket Mortgage, again, if the need arises. We will definitely recommend Rocket Mortgage to friends and family.",5
LiANN,"Houston, TX","Reviewed Oct. 22, 2022","Starting July 2022, Rocket Mortgage request documents in an effort to assist with a past due mortgage that remain after bankruptcy 13 voluntary dismissal. An application was required, which was received and completed. Documents requested were sent multiple times, and the reply continues to be ""we did not get them"".  Fed-Ex was sent more than twice to request the same documents over and over. Several calls were made to Rocket Mortgage with the person from the accounts resolution team confirming the documents were received, but may have been crossed in the mail and it would be noted that the information was received. However, this went on for several weeks with an account resolution team member confirming, ""Yes we received and maybe it just cross in the mail but this has been updated."" ",1
David,"Rochester, MI","Reviewed Oct. 20, 2022","It was pretty good overall. I've done several re-fi's in the past with Rocket, but this is the first time I had to provide my own Title Insurance company. Also there was some delay in the closing because my wife is unable to sign documents anymore and I became legal guardian/conservator for her. There was some mis-understandings on Rocket on how to deal with it. But overall I am happy on how it all went.",4
Cynthia,"Fayetteville, GA","Reviewed Oct. 7, 2022","As repeat clients, the service we always experience is above and beyond and we feel Rocket Mortgage has a built in WOW factor for total concern for customer resolution. And the professionalism and ease in each process from beginning to the end are impressive beyond words. Thank you for our relationships and years of consistency. You ROCK!",5
Paulos,"Antioch, CA","Reviewed Oct. 7, 2022",Customer service is outstanding and I am all satisfied with the service that I received from Rocket Mortgage. For every question that I have rocket mortgage representative is there to explain until I understand what I need to know. It’s also easy to reach out whether by phone or by email response is quick and always enough for my satisfaction. Thank you!!,5
Mattie,"Wilmington, DE","Reviewed Oct. 4, 2022","My experience with Rocket Mortgage was fantastic. I could not believe how easy it was. Brian **, who was my primary lender, was great. Also, the team of individuals who responded to me when I had a question were very efficient and timely. I sought a refinance to pay off high interest credit cards, (which have been cut up-smile) and now I can concentrate on paying off my mortgage and just enjoying my life without much stress. Thanks so much.",5
David,"The Villages, FL","Reviewed Sept. 28, 2022","Rocket Mortgage offered extremely competitive interest rate and processed all the paperwork efficiently and effectively. All Rocket Mortgage personnel with whom we dealt were friendly, helpful and knowledgeable. The entire process went through smoothly and in a very timely manner. I would use them again if I needed to obtain another mortgage.",5
Cathryn,"Cheyenne, WY","Reviewed Sept. 27, 2022","From the start all the way to the close was a very agreeable experience. The people we were in contact with were very helpful and friendly. Whenever we had a question, they were very quick to respond. The Website is very user friendly, as well.",5
Karen,"Tampa, FL","Reviewed Sept. 20, 2022","This was my first time working with Rocket mortgage and would recommend Rocket mortgage to anyone for any mortgage needs. Very professional, communication was on point every step of the process, friendly and helpful staff. Closing was fast, convenient and efficient. I will definitely be using Rocket Mortgage in the future!",5
Richard,"Ocean Springs, MS","Reviewed Sept. 14, 2022","With my new mortgage refinance I was so thrilled to get away from Mister Cooper and their 10.95% interest. Now working with the wonderful company of Rocket Mortgage. That's really gonna be a big help to me with their 4.99% interest and also I really appreciate the Friendliness of the employees and also they are professionalism, they were top notch and I almost wanted to process to continue simply because it was such a pleasure having them working with me.",5
Thomas,"Ann Arbor, MI","Reviewed Sept. 12, 2022","Except for the requirement to pay for a $1100 appraisal by a person chosen by Quicken Loans, the mortgage initiation process was fine. About 8 months later, the mortgage account was flipped to Mr. Cooper and the nightmare began. Quicken stopped accepting my automatic payments BEFORE Mr. Cooper was ready to accept payments. I had no idea that my August 1 2022 payment was cancelled. I got a letter from Mr. Cooper dated August 11 2022 and I went to their website immediately and set up autopay. The website was badly designed and I had to manually enter all sorts of information that could have been transferred. I received an evening phone call confirming that everything was okay and the representative could see that I had auto pay. ",1
Joe,"Clearwater, FL","Reviewed Sept. 10, 2022","Loan originator Vincent was very competent. Processing was pretty smooth, communication was very good. Checks to pay off other expenses were issued very quickly. No unreasonable requests or conditions were issued. Overall one of the best closings I’ve ever had.",4
Tracy,"Weymouth, MA","Reviewed Sept. 8, 2022","William ** was our first contact. And he was pretty helpful throughout if we had any questions. Always professional and got right back to us if needed. Never did a mortgage all online like this. It was a bit challenging but we were able to handle it, and it worked for us!",5
Linda,"Tulsa, OK","Reviewed Sept. 2, 2022",John ** was great to work with great knowledge of all he was doing. All the others at Rocket Mortgage were awesome too. That includes Amrock to Brandon ** the appraisal person. Everyone was kind and polite and never lost patience with me. Thank you.,5
Carmen,"Schertz, TX","Reviewed Aug. 31, 2022","We are extremely please with Rocket Mortgage especially with Mr. Robert **, NMLS#**. He provided prompt assistance every time we needed it. His knowledge and professionalism were unique and he always went the extra mile to ensure we were satisfied with the information and service that he provided to us. We appreciate his help and we will be recommending Rocket Mortgage to all of our friends and relatives.",5
Earl,"Albuquerque, NM","Reviewed Aug. 30, 2022","We contacted Rocket because the regional bank we were working with did not offer many options. Rocket had an interest rate/points/down payment combination that suited us. They were able to pre-qualify us quickly, which was very helpful. Rocket personnel were friendly and considerate, though a bit ""hard-sell"" initially.",4
Angie,"Bloomington, IN","Reviewed Aug. 30, 2022",Rocket Mortgage was the best!! My first call I got Corey **. He was amazing. He made our process so easy. It was such a smooth process. He was so professional and a pleasure to work with and just the whole process was so easy and smooth.,5
Robert,"Crossville, TN","Reviewed Aug. 26, 2022",This is the second time we’ve used Rocket Mortgage. Both times were excellent. It’s so refreshing to speak with staff that let me know through their tone and actions they actually want to be on the phone helping me. Thrilled with RM! Telling all my friends! Thank you - Robert **,5
Mary,"Waxahachie, TX","Reviewed Aug. 25, 2022","We used Rocket Mortgage (aka: Quicken Loans) to refinance our home. Everyone we dealt with was friendly and super helpful. They always responded to us quickly, and answered all our questions, even the most difficult. They were honest with us at all times, even if it might not have benefited them. The whole process was done quickly and efficiently. We will definitely use them again, if necessary, and will recommend them to friends and family.",5
Ronald,"Anderson, SC","Reviewed Aug. 2, 2022","We refinanced our home for shorter term and consolidated some other debt into the loan. Throughout the process, all staff were pleasant and easy to deal with and were receptive to our questions and concerns. The process was smooth and convenient, including having the closing at our home and during a convenient time for us.",5
Krista,"Goshen, CT","Reviewed Aug. 2, 2022","We recently refinanced our home with Rocket Mortgage and could not have better things to say about our experience. From start to finish, we were kept informed of the progress of our loan and appreciated the ease of access to our documents. Every person we worked with was knowledgeable and easy to work with. Highly recommend.",5
Mary,"Glen Burnie, MD","Reviewed July 25, 2022",This was done better than last refi with Rocket. Ali ** did an outstanding job to ensure the loan process went very smooth this time no delays. He stayed on top of any concerns I had and fixed them quickly.,5
ReallyJust,"New York, AL","Reviewed July 23, 2022",Was on the phone with them.for well over an hour. They told me that they would be able to give me loan. However after providing my personal info. I was told they couldn't do anything. They gave me no reason for denying my loan. After a week I started getting advertisements for their products both from USPS and email. It should be noted that I did go elsewhere to get my refi.,1
Diane,"Tracy, CA","Reviewed July 19, 2022",I have dealt with several lending companies in the past. I have never encountered such competency. Immediate response to any questions with an e-mail update and picture of the person I had spoken with. Each time I called I was able to speak to a live person who was quite knowledgeable. Several departments handled each aspect of my loan in a professional manner. I cannot praise Rocket Morgage enough and would refer you to anyone who is interested in a new loan or refinancing. Thank You So Much.,5
Theresa,"Blue Earth, MN","Reviewed July 17, 2022","Rocket Mortgage is very thorough and helpful from onset of loan and throughout signing the loan at closing. Thanks for excellent customer service. I highly recommend! Everything went smoothly, precisely why I have been with Rocket/Quicken for decades on purchases of two homes.",5
Ann,"Fort Washington, MD","Reviewed July 15, 2022",My experience was great from the application process through the closing. Each step was explained and happened exactly as promised. I would definitely recommend Rocket Mortgage as a vendor. The entire process was exceptionally quick and accurate. Thank you..,5
Michael,"Helendale, CA","Reviewed July 14, 2022",Not very impressed with the process tough to talk to anyone- I still have dozens of questions that need to be answered. Need help still to make sure I have all correct information. I would like a phone call asap. Michael **,2
Juanita,"Marietta, GA","Reviewed July 7, 2022","Everyone I spoke with at Rocket Mortgage was personable and extremely knowledgeable about the entire process. They guided me throughout the process and answered all of my questions without hesitation. Without a doubt, I would certainly use Rocket Mortgage again.",5
Virgil,"Urich, MO","Reviewed July 6, 2022",From start to finish the whole process was very quick and done in a timely manner. Cody was very informative and knowledgeable. The attempt to close over the internet was a little much glad they had a gentleman drive out.,5
Erich,"Brick, NJ","Reviewed June 30, 2022","My experience with Rocket Mortgage was extremely smooth and simple. All the members of the team were there to help me with any questions and everything through the process. I could have asked for a better group of people if you paid me! There is no wonder that this is the #1 Lender out there. If I had to, I would definitely go right to Rocket again! No questions asked.",5
Kimra,"Clintwood, VA","Reviewed June 28, 2022","Everyone was exceptionally helpful and polite. Closing was an easy, straightforward process. Both the individuals with Rocket Mortgage and the Title Company were a pleasure to work with, and I would be willing to work with them in the future.",5
Carlas,"Scott Depot, WV","Reviewed June 27, 2022",The guy I worked with was told if my payment was over 1500 month I didn’t want it! So what he did and we didn’t catch it was did not put my insurance and taxes into my payment because it would have taken it over and I would not committed to the loan from 20 years with low interest rates to a higher payment and interest and more years! Very dishonest people at Rocket Mortgage.,1
Wesley,"Las Vegas, NV","Reviewed June 23, 2022",Two separate bankers attempted to add small debts to my loan amount without my authorization. When confronted both claimed an “accident “. I strongly feel this was planned and possibly the result of chicanery. Both bankers knew full well that Ihad fund’s to personally pay . Had I not scanned the estimate. I would have been a victim.,2
Elijah,"Naperville, IL","Reviewed June 21, 2022","From the first phone call with Patrick **, each step in the process was handled with ease. Talking with company representatives on the phone, or completing the information on the internet, everything was clear and concise. The speed of handling the mortgage transaction was much faster than I expected.",5
John,"Dayton, OH","Reviewed June 18, 2022","All contacts with the organization in almost all cases was handled professionally. One person did not, and it turned out that person was in the process of leaving the company and so some loose ends had to be understood and finished during the loan process.",5
Terry,"Des Moines, IA","Reviewed June 16, 2022","Danny ** and his team of professionals were extra helpful in responding to any questions I had when refinancing my townhome! When I called or asked a question, they were able to answer quickly or let me know when someone else would be responding to my question.",5
Jonathan,"Poca, WV","Reviewed June 11, 2022",They really have the whole process streamlined and well put together. I was the one slowing the process down. I'm not sure the process can be made any better. The fact that the closing was done at the house was awesome.,5
Tommy,"Stroud, OK","Reviewed June 9, 2022","Rocket was an exceptional company to work a refinance on our home. We were needing some major repairs on our home to better our life during our aging process. Rocket understood our needs. The team worked very professional, patient, and made us feel confident throughout the process. Everyone was polite and made us comfortable asking questions.",5
Glenn,"Leoma, TN","Reviewed June 8, 2022",Everyone one was easy to work with and very helpful. I talked with Eric on all of the initial parts of the loan and he was great to work with and was always easy to get on the phone or prompt at returning my call.,5
John,"Tallahassee, FL","Reviewed June 7, 2022",The entire process was easy to complete the process. Rocket staff kept us informed of all steps in the process and gave lots of notices for items we needed to complete. They even made it easy to make a change to our loan towards the end of the process. Much easier than mortgages we have done with other institutions in the past.,5
Marlene,"Moore, SC","Reviewed May 23, 2022",Christine and Brooke were excellent explaining the process from beginning to end. The online tasks were simple to navigate and expedited receiving and analyzing the required documents. Completing the closing in my home was an additional convenience that was greatly appreciated.,5
Freddie,"Dolton, IL","Reviewed May 20, 2022","My mortgage Team Consisted of Eric **, Nannette **, and Brittney. My Team kept me well informed and provided me with the much-needed support through this gruelling time. One of my co-workers will be in the market for a home soon and I will refer him to my excellent Team.",5
Duaa,"Essex, MD","Reviewed May 19, 2022","The loan officers were very helpful, they made every step easy, they found solutions when there were problems, they kept all my information confidential, it was easy process and quick. They met my needs in every way and I will recommend it to a friend or anyone ask.",5
Martin,"Lilburn, GA","Reviewed May 19, 2022",I have a very good and simple process from the beginning and end of the loan process. I would recommend anyone to use Rocket mortgage for a loan. The online portal was very useful for giving update and what is needed to complete the process.,5
Justin,"Waterbury, CT","Reviewed May 16, 2022","I started my loan process toward securing a VA loan. I was waiting for a a month and a couple weeks, then I was told that the VA needed to acquire my retirement points to verify my veteran status. If I knew this is what my loan was on hold for, I could have contacted the VA office right away and got this cleared up. For whatever reason, it took the underwriting department a long time to verify my employment status, even after I uploaded a couple years of my W2 forms from both of my jobs, and they had my Social Security number to further verify my employment status.",3
Paula,"Villa Rica, GA","Reviewed May 16, 2022",Our experience with Rocket Mortgage was pleasant and professional. They were very helpful and knowledgeable. The process was very seamless and the website was easy to navigate. Thank you Rocket Mortgage for getting us to a better place with our finances.,5
Denise,"Clackamas, OR","Reviewed May 11, 2022",2 people dropped the ball and we kept having to change people. We uploaded documents to your portal and then no one followed up kept asking for the docs again. You send out too much mail asking for the same stuff.,3
Dan,"Arlington, TX","Reviewed May 4, 2022","Rocket Mortgage was great and very informative. This refinance has set my family up to be financially free and ready to move toward retirement. With this transaction, we were able to pay off our final creditor apart from our mortgage, pay for a vacation and buy a new vehicle.",5
Danielle,"Lexington, SC","Reviewed May 3, 2022",Seriously I cannot say enough words! Austin was amazing! I am so busy I would of never done this without him being so persistent. I really appreciate the simplicity behind each step! I will recommend you guys and use you for every home purchase going forward!,5
Elijah,"Slidell, LA","Reviewed May 3, 2022",Great employees. Really helped the process go smoothly during the entire mortgage process. Really enjoyed how everything was through the app and website. Made it very easy to log in and complete any tasks that needed to be completed. And That is why Rocket Mortgage was a pretty good choice.,5
Gregory,"Ca  Beaumont, CA","Reviewed May 2, 2022",All departments were excellent with respect to response time and thoroughness of information. I was able to upload all documents seamlessly and easily. Appraisal was very much on time this instance. I was informed of even bad news in a timely manner as when my appraisal came back less than originally estimated.,5
Robert,"Fredericksburg, PA","Reviewed May 2, 2022","Nadine was the worst rep. I ever have had the chance to deal with. Not professional, did not listen when given info. Nothing went smoothly with your process. I have had previous mortgage with Rocket and never had problems, never had to get a pest inspection before. I felt I was lied to... even Thursday sucks to finish.",2
Darlene,"Martinsburg, WV","Reviewed April 29, 2022",Communication with every individual at Rocket Mortgage was excellent! We appreciated how they kept in contact to let us know where we were at in the process. We did get held up with one appraisal but once that was solved everything moved along smoothly. We did have to gather a little more info together than for primary home mortgages but we still closed pretty fast. We would use them again.,5
Judy,"Woodstock, IL","Reviewed April 28, 2022",We worked with Ryan to refinance our home. He was so helpful and kind. All our questions were answered quickly. The closing was so smooth. Fantastic job! We can’t believe the ease of this closing. We were completely satisfied with everything.,5
Cecelia,"Seabrook, TX","Reviewed April 27, 2022","Excellent experience: They called me and immediately connected me to Dan **. He was wonderful! He listened to what I wanted. It took such a short amount of time, and was painless and easy. I am so very pleased with everything. Thank you so very much.",5
Robert,"Washington, DC","Reviewed April 26, 2022","It was a pleasure to work with Mr. **. He was courteous, prompt, efficient and resourceful in guiding me through the process and resolving all issues. I was kept informed of the process. The website was accessible and there was continual communication via email about the status of my application.",5
Mike,"Lake Nebagamon, WI","Reviewed April 26, 2022","I had the pleasure of working with Moriah ** as we worked towards refinancing our house. Our experience with Moriah was extremely positive. Besides being very professional, she also has a great personality. Moriah always returned our phone calls promptly even after hours. One of our important meetings took place after hours and after she had put her young son to bed. Moriah is a asset to Rocket Mortgage and her and the company’s help was greatly appreciated",5
Terry,"Melissa, TX","Reviewed April 25, 2022","Great experience from soup to nuts. Only one small issue, and that is that I have not received my rewards on my AMEX card, but I'm sure it's coming. Cody and his team were great and the mortgage company was, too. It was all very efficient and we were kept up to date on every step.",5
Ethel,"Anaheim Hills, CA","Reviewed April 23, 2022","Rocket personnel were knowledgeable, courteous, efficient and responsive. Working with Sean ** was a very positive experience and his accessibility was appreciated. More specifically Sean kept in contact with me although sometimes I was not available and often did not respond immediately. In important processes such as a refinance, it is comforting to know that your business relationship is valued and eagerly sought-after rather than feel you have to succumb to high-pressure tactics. I appreciate knowing I was a respected customer and was never treated as just another number/sale. Kudos to Sean **! He represented you well!",5
Jeanne,"Slingerlands, NY","Reviewed April 22, 2022",Agents were knowledgeable and extremely helpful. Questions were answered congenially. Process was fast but understandable. Website dashboard is clear and easy to use. Stages of process were clear. Money arrived as promised. Appraisal was fast and appropriate. I never felt lost or frustrated. Account was easy to set up.,5
Donna,"Pascagoula, MS","Reviewed April 19, 2022","The loan process went well and quickly and Clarence was a great loan officer. What I didn’t like is the fact that they let everyone and his brother know that we were refinancing and how much we refinanced for. Every day, we are getting something in the mail about house warranty for the $120K refinancing of our home. Sometimes this is not even in an envelope but on a postcard for everyone to see. Other times it is in an envelope but just above the name and address it has the refinance information for all to see. I feel that this is a breach of privacy and am very disappointed in that. Other than that, everything went well.",4
Terry,"Decatur, GA","Reviewed April 19, 2022","Great experience! Best closing ever from the beginning to the end! Special thanks to You Justin **! Amrock, the Title team. Customer service and the payment team. Title personal, and closing agent. This was the best experience I had in 20 years! Online processing was great!",5
Julie,"Plymouth, CT","Reviewed April 17, 2022","Everyone we worked with was extremely helpful, polite and efficient. They helped us save more money than we anticipated by thinking outside the box. The process was seamless and painless. They even came to our house for the closing! We were recommended by a friend and then we recommended Rocket to another friend. Great experience.",4
Leah,"Las Vegas, NV","Reviewed April 16, 2022",Continue to receive mail for Tyler **. Non existent in this household. Please stop sending mail for this individual. My name isn't close to his. Please make it stop. If he goes away I am happy. Make Tyler go away!!!! HELP!!!!,3
Don,"Long Neck, DE","Reviewed April 16, 2022","Fantastic! From our first contact with Banker Mykul ** thru Christina and all the team, they all kept us informed. The whole process was smooth and uneventful. The team apparently stays in touch with each person as we never had a gap.",5
Thomas,"Springboro, PA","Reviewed April 15, 2022",All aspects of the loan process went along smoothly. The procedural steps were explained in a easily understood manner by the representative(s). My questions and concerns were handled very professionally by the people I talked with during the loan process. I liked that completing some of the forms was done via the internet.,5
Joseph,"Tucson, AZ","Reviewed April 15, 2022","I have gone through multiple home purchases and refinances, and this was by far the fastest and easiest refinance that I've ever had. My loan officer, Andrew **, was friendly, professional, and very competent. I would definitely use Rocket Mortgage again.",5
David,"Campton, KY","Reviewed April 14, 2022",People I worked with knew what they were doing and made every effort to make our experience good. Everything was done on time and turned out like it was supposed to be. The process was much easier than I had encountered with loans from others in the past.,5
Patricia Pearl,"Jamaica Plain, MA","Reviewed April 12, 2022","My remortgaging procedure was fabulous. All staff with whom I interacted were professional, competent and very customer-service oriented. The whole process was seamless - everything was accurate and on time. Thank you to all who helped with the process. Happy to refer to others.",5
Matthew,"Lucedale, MS","Reviewed April 12, 2022",Great on every aspect. Amazing to work with. Very understanding and willing to work through things with you. Everyone is willing to go the extra mile and spend the time needed to get the job done. Highly recommend them. Customer for life now.,5
Rae,"Newark, DE","Reviewed April 10, 2022","Your company was recommended to me to check out for a refi on my home. I did do some comparison shopping and though your rate was not the lowest, your company was the most efficient and professional of the ones I dealt with. The staff was very knowledgeable and kept in good communication letting me know what they needed, when they got it and what the next steps would be. They also did not waste any time getting the whole thing done and that was a great relief to not be dealing with it for weeks. I would definitely not have any problems with recommending their services to anyone considering refinancing their home. I really appreciated their professionalism and desire to get a positive ending to the process with as little pain as possible to myself. Thank you team!",5
Sherry,"Summerville, SC","Reviewed April 4, 2022",I was very happy with the process. I did not have to provide many documents and the folks at Quicken were very professional and friendly. They closing took place in a timely manner and it was a smooth process. I would use Rocket Mortgage again for my loan needs.,5
Sharon,"Suffield, CT","Reviewed April 2, 2022",Everyone I spoke with was kind and knowledgeable. The process was drama free and the closing was in my own home. Any questions or concerns I had were quickly addressed or explained. I was comfortable and at ease with the refinance.,4
Lonnie,"Denver, CO","Reviewed March 31, 2022","Gabe Sandoval recommended, and was able to refinance in such a fast time!!! I greatly appreciate the help, kindness and patience during the process of refinancing. It was fast, very easy, and very user-friendly for my benefit. Thank you so much Gabe!!!",5
Dortheen,"Tuscaloosa, AL","Reviewed March 30, 2022","My experience with the Rocket staff was wonderful, Robert took care in walking me through the process and made sure I understood each phase of the process. During these troubling economic times families are facing hardship in caring for their loved ones, it’s a blessing that there are people who care enough to help them restructure their finances so they may continue to provide the financial support needed to ensure their family is taken care of. Thank you",5
