Author,Location,Date,Comments,Rating
Daniel,"Houston, TX","Reviewed June 9, 2023","I tried to refinance about a year ago, and they dragged their feet, submitted several inspections, and finally told me that my locked in rate had expired and all I could do now was to take the 1.25% higher rate. This was after inspecting twice, and claiming that they never received the appraisal (both of them). Their web page for auto payments is intentionally obstructive to setting up autopay. You cannot change an autopay amount. you must first delete the old one and create a new one. When you delete, you get ""A new autopay can be scheduled once this cancellation has been processed, usually by the next business day."" Why?More",1
skye,"Jackson, MI","Reviewed May 8, 2023","This company's behavior is unethical and potentially illegal. After going through the loan process, they decided to sell my personal information to other loan providers for their own financial gain. This is a clear violation of my privacy and trust. It is concerning that they would prioritize their own profit over the privacy and security of their customers. This kind of behavior is unacceptable and should not be tolerated. It is important to be cautious when providing personal information to companies and to read the fineprint carefully to ensure that they will not share your information with third parties without your consent. Overall, I do not recommend doing business with a company that engages in such questionable practices.",1
elliott,"Valencia, CA","Reviewed April 20, 2023","When I called Rocket Mortgage I was offered a rate that was not possible so they escalated to different division to cover up the bait-and-switch fraud. They hand you off to so many people it's like they created the Henry Ford factor line for mortgages. No relationship building, each person doesn't know what the other person is doing. They may be the largest but for sure are not the most organized or knowledgeable. It's like like they just push it through sometimes because they have gotten so far with the loan. I bet if they were really audited they would lot more legal problems.",1
Adam,"Des Lacs, ND","Reviewed April 18, 2023","I currently have a loan with Rocket Mortgage. In the past couple years I’ve been with them I’ve gotten hundreds of calls wanting me to refinance, I ended up just having to block their number. Now I’m going through an insurance claim and I sent the check to them 1 month ago and I can’t even get a human on the phone to find out if it was received. When you call their number it’s all automated press 1 if etc. about 3 times until it just tells you how to send the check. It should be way easier to access a human to actually get answers to my questions.",2
Jodie,"Aurora, CO","Reviewed April 6, 2023",I called three weeks before they were scheduled to pay my annual insurance premium and asked them not to pay it to my current carrier because I was changing companies. They disbursed it anyway even though the account said DO NOT PAY. Now I have to try to get the money back to return it to them so that my escrow account is not short from a double payment when they disburse the money to the new carrier.,2
James,"Sparta, WI","Reviewed March 30, 2023",After finding out our legal description was wrong back in 2015 we thought everything was fine as the attorney we had sent all corrected legal documents to Rocket Mortgage. We didn't hear anything more until Christmas 2021 when Attorney papers came saying that the homes affected were illegally sold. The mortgage company never fixed the legal documents for the properties affected from back in 2015 and never gave us a heads up. We then thought we had that fixed but then at the start of this month I am told we are in arrears by over $2400.More,1
andy,"Chantilly, VA","Reviewed March 29, 2023","The most answers comes from a certain department and all other department. When you talk to they just guess and each of them say a different thing until after while and time passes answer comes from that particular department, very annoying people. Please do your homework before you start working with them.",1
Simmone,"Hightstown, NJ","Reviewed March 20, 2023","Updated on 03/20/2023: I am changing my review from 1 star to 5 after finally speaking with my loan officer, Patrick D. He took the time to explain what I needed to know. Rocket Mortgage is the best! Will continue to be a customer of theirs as long as I own property.More",5
Kregg,"North Branch, MN","Reviewed March 15, 2023",Loula was awesome. This is the second time she has helped me buy my house. She really does care and does everything possible to get it done. I will recommend her to everyone. My deals have never been easy and she has always worked through all the issues.,5
Nanette,"New York, NY","Reviewed March 9, 2023","We returned to Rocket for a mortgage because of a positive experience we'd had with them, especially with the loan origination people. There seems to be a problem however, when the client is handed off to the team that handles the process of finalizing the loan and moving to closing. This second time with Rocket was similar to the first, great service from Keeb with the process of getting the loan started and guaranteed, then poor service from Julia who took over the process after our offer was accepted and we were moving toward closing. She was a poor communicator - gave us conflicting explanations, didn't tell us what she needed, didn't answer our questions - leading to a lot of unnecessary stress.More",3
Nate,"Tampa, FL","Reviewed March 8, 2023","Amazing experience all the way around!!! From start to finish - extremely efficient and of high quality at every point. The customer service reps were very knowledgeable and extremely helpful, provides updates in a very timely manner which makes the process much much better. Would recommend them to anyone looking to refinance. I would absolutely look to use Rocket Mortgage again in the future.",5
David,"Stonington, CT","Reviewed March 6, 2023",Getting our first mortgage was simple and professional. We applied for a home equity loan. Night and day. We were approved then told no after commitment. They could care less. Pull the product if the staff or approval software are not up to snuff. No more recommending them except Joe for a mortgage was outstanding.,1
Ferdinand,"Katy, TX","Reviewed March 3, 2023","After spending hours with a loan prescreening representative and providing information on the nature of my application twice, once online and then with a live person. I had to use a live person because you're not really able to do online everything that’s in the meta tags that draws you in. Something is wrong when a company like this denies a person with a credit score above 770 and financials that meet all the requirements for this very small loan for an investment property. They knew and understood beforehand exactly what my intentions were regarding the nature of my loan and wasted hours of my time on the phone just to tell me that they couldn’t do it, without any clear explanation. It sounded as if it were being made up as she talked and I still.",1
Timothy,"Royal Oak, MI","Reviewed March 2, 2023","From beginning to end, this was an outstanding experience! Frank Jamal and Michael ** were fantastic. Frank from the get go was super helpful, informative and every step of the way the whole team was ahead of the curve. Everyone was easy to reach and always answered my questions. My closing agent was outstanding too. I would recommend Rocket and this team in particular to anybody that asked!",5
Robin,"Meridian, MS","Reviewed Feb. 27, 2023",Awesome experience. Tiffany was just outstanding. And so we’re the other employees that I worked with. They made it so easy!! Thank you. Will definitely recommend Rocket mortgage to my friends and let them know all about my experience!,5
Matthew,"Yonkers, NY","Reviewed Feb. 27, 2023","From start of my application to finish, I received friendly, profession and courteous help applying for my mortgage. Thank you Duy ** (my Banker) for guiding me through the process! Rocket Mortgage, keep up the great support of your clients' needs especially during the nerve wracking process of home buying.",5
Aaron,"Spring Creek, NV","Reviewed Feb. 23, 2023","Everything went well with Nelson at the beginning of the process. I would use Rocket again in the future. Some things got tied up at the end waiting for closing and I think someone dropped the ball causing a delay. It might have been on the title company's side. I kept checking for my responsibilities for over a week, and the portal said there was nothing for me to do. I finally called to double check and then things moved really quick.",4
Alvaro,"Malden, MA","Reviewed Feb. 22, 2023","I called last month while shopping around for Mortgage Products. In short, their rates and fees weren't the best, and I told them I'd need some time to calculate/mull it over. The rep said ""Well why do you need to think about it? You're not going to get any better so you might as well go with us."" As creepy and, quite frankly disrespectful a response that is, I insisted I'd call back another day. Since then, (going on about a month now) they call me anywhere from 2-5 times a day--as early as 7am and as late as 8pm. The same number. Every. Single. Day. I have the call log & screenshots to prove it. They've lost my business indefinitely and I implore anyone reading this to go literally anywhere else.",1
Albert,"Fort Mohave, AZ","Reviewed Feb. 22, 2023","My experience with Rocket Mortgage was very quick, efficient & very easy, I would recommend Rocket Mortgage To anyone needing their kind of services. Kyle ** my agent was very helpful & knowledgeable & made himself available whenever I needed a question answered.",5
Gary,"Sanbornton, NH","Reviewed Feb. 21, 2023",Staff were extremely respectful and professional. Questions were answered accurately. The turn around time was very quick. I felt that I had a team to guide throughout the entire process. Very easy and comfortable. I would use Rocket again without question.,5
Connie,"Yates Center, KS","Reviewed Feb. 14, 2023",Process was very smooth and customer service answered any questions we might have very quickly. Process was explained as to what was necessary for each detail. Really was amazed at how fast all went and completed. Would highly recommend Rocket Mortgage to anyone.,5
Robert,"Old Greenwich, CT","Reviewed Feb. 10, 2023","Provided me with a Federally Funded CARES Mortgage deferment. Told me they would modify the loan and put the deferred payment, 6 at the end of the loan. Now tells me they wouldn't do that and are demanding the entire $19,000 payment at once and will be foreclosing on me and my 11 year old daughter's home. They refuse to accept any payments, even the regular monthly mortgage payments which I have been making on time, now tells me they won't accept any payments, expediting the foreclosure. Terrible, bullying unethical practices. After agreeing to help me during Covid they now destroy my credit, and are removing me and my daughter from our home for $19,000. Stay away from these thugs.",1
Karen,"Myrtle Beach, SC","Reviewed Feb. 8, 2023",We have been very pleased with Rocket Mortgage. Everything went smoothly from beginning to end. It was so easy to get forms filled out and submit online. Our only complaint is all the mail about mortgage insurance with the amount of our loan on a postcard for everyone to see. That is unacceptable,5
Daniel,"Round Lake, IL","Reviewed Feb. 7, 2023","Was Leary about Rocket Mortgage. It was a great experience. All their folks are professional and great communication. Highly recommend. Aaron was great, he responded at all times of day and night during this process. I closed on my home with no issues.",5
Sp,"Sacramento, CA","Reviewed Feb. 5, 2023",High fees. Promise what they cannot deliver. Rude. Twice now. Never again. There are a lot of better options out there. The last guy was purposely deceitful. One a refinance and the second a purchase. This is the only company that would not be transparent with a cost breakdown upfront as well. There is a reason.,1
Jonathan,"Glendora, CA","Reviewed Jan. 25, 2023","I'm a first time home buyer in the city of Glendora. I was referred to Rocket Mortgage by the realtor I used to buy the home. If you understand the Ins & Outs of buying a home then I'm sure this is a decent company to use, but if you're a first time home buyer I would avoid them at all costs. Pete ** was my representative and is a very nice gentlemen, but spoke to me as if I worked as a colleague and thought I understood this process of buying a home. He was communication skills were awful, locked me in at points that I did not agree with, and still getting hit with unknown bills that he didn't clarify to me when spoke. Ultimately, first home buyers should be treated a lot better than the experience I had and would advise to look elsewhere.",1
Melinda,"Amory, MS","Reviewed Jan. 25, 2023","From start to finish, this has been been the best process! It was easy, fast, and everyone was so polite and helpful. All my questions were answered. Everyone kept in touch and updated me on everything as needed. I will recommend Rocket to everyone. Tiffany ** was great! I would love to work with her again for future loans. Thank you!",5
Jeffrey,"Hutsonville, IL","Reviewed Jan. 22, 2023","Everything, from the inquiry to signing of the forms, went smoothly. I was very pleased. There were a few bumps along the way but all in all a good experience. The staff seemed knowledgeable and very helpful. I am happy that my wife had me look into Rocket Mortgage.",5
Payton,"Richland, WA","Reviewed Jan. 17, 2023","I had a wonderful experience throughout the closing process on my home. Naven, Julie, and team were stellar to work with and made the whole process smooth as butter on toast! Would happily recommend them to anyone who is looking to purchase a home.",5
Mark,"Kempner, TX","Reviewed Jan. 12, 2023","From start to finish, all professional staff, courteous and knowledgeable. Helpful and efficient. I will definitely recommend Rocket Mortgage to my friends who might be in need of the many services offered. I was having trouble finding a survivor, and they managed to get one for me. I’m a happy camper now.",5
Rick,"Plainfield, IL","Reviewed Jan. 12, 2023","I have been with Rocket Mortgage for quite some time. Earning in excess of 12K monthly, I was in a position to finally get into a 10 year fixed at 2.25%. Great deal, excellent service, really impressed. Found myself unemployed for the first time in my life in January of 2022, and struggled meeting all obligations. I have never missed a mortgage payment since I have owned real estate, over 40 years! I received an offer to start working in January of 2023. I contacted Rocket in August about options. I had read that they could defer a few payments to the end of my loan. Instead I was set up on a ""forbearance"" program. Found out they will only re-structure my loan and add 4% and additional length to my loan. After to speaking with multiple reps, including the ""executive team"" , they advised me that this what they decided. When I advised them that I was mislead, they said, ""It all in your documents.""More",1
Elainne,"Rochester, NY","Reviewed Jan. 11, 2023",This was the easiest platform and customer service experience I’ve received while trying to refinance. Amazing. I tried Wells Fargo prior to this and what a nightmare. This was by far the best experience I’ve had! Thank you. I could not say enough about the great service I received. I would gladly do business with rocket again.,5
Shawn,"Halifax, MA","Reviewed Dec. 30, 2022",I cannot begin to say how pleased I was with the whole experience. I had tried another company before Rocket and had poor service and basically a runaround. Rocket took care of me and made sure I was up to speed with everything. I'd definitely recommend them to anyone who needs loan services.,5
Robert,"Leclaire, IA","Reviewed Dec. 22, 2022",Kyle was just a total rockstar to work with. He made everything so easy and always was able to answer all the question asked. He was a blessing to have for our mortgage. The help Kyle have was very helpful and heart felt. He was always on top of the process and helped my wife and I feel comfortable. Thank you Kyle.,5
Louis,"Florence, SC","Reviewed Dec. 21, 2022","We had a great experience with Rocket Mortgage. Everyone was helpful, and the process was easy and quick. Every step of the process was available for you to see. The system was amicable and easy to use. The closing was done in a professional and timely manner",5
Monica,"Mobile, AL","Reviewed Dec. 17, 2022","I was able to apply and upload all necessary documents online, making the process easy right from my home office. I had a dedicated representative throughout the process. They sent an appraiser to my home and completed an appraisal. When it was time to close they sent a notary to my home. I was very impressed by the level of ease and service I received. Highly recommend.",5
Eric,"Miami, FL","Reviewed Dec. 16, 2022",My husband and I had a wonderful experience with Rocket Mortgage - our Rep - Jessica ** was AMAZING - she answered all my questions quickly - always had me ready and one step ahead - the website is so easy to use and helps you stay on track of what you need to do and upload - plus we learned a lot about the lending process - we had a five star experience and DEFINITELY recommend to a friend - our realtor also loved it and will be referring Rocket Mortgage as well.,5
Sarah,"Youngstown, OH","Reviewed Dec. 13, 2022",Thank you to everyone who helped with my refi. It was a wonderful experience from beginning to end. Any hurdles were easily overcome by various teams throughout the company with an easy resolution. I could not say one negative thing about the process.,5
Darryl,"Ocoee, FL","Reviewed Dec. 8, 2022","Devin ** should be commended for such top tier service. He made the process streamline and stress free. From the very start of the process he kept me in the loop and communicated with me via text, email and phone calls. I never worried about the process!",5
Linda,"Toccoa, GA","Reviewed Dec. 7, 2022",Refinance was a great experience with knowledgeable and friendly staff that worked very hard to get me the best rate that worked with my personal budget. I would recommend Rocket Mortgage for anyone looking to start a mortgage or refinance an existing mortgage.,5
Raelani,"Rio Rancho, NM","Reviewed Dec. 6, 2022",It was such a smooth transition from Quicken Loans to Rocket Mortgage. Signing paperwork online was great so by the time the person who had all the paperwork came over everything went so quickly!! I would highly recommend Rocket Mortgage to anybody!!,5
Ang,"Johnston, RI","Reviewed Dec. 2, 2022",Do not trust this mortgage company. A bunch of liars and thieves. Never gave back my money. Natalie never gets back to you on calls. Terrible customer service.  Doesn't go beyond for you. Tells you what you will get and lied. Paid them 500 and never got it back. Stay away.,1
H',"Syracuse, NY","Reviewed Dec. 2, 2022","I writing to express my total dissatisfaction with the process, after being approved for a loan and spend a lot of money doing reparations in the property that we want to buy, my wife and me discovered that they did not want to approve the loan because we needed to replace part of the roof. We had already invested a few hundred dollars in the property and we had a grant for the total repair of the roof of the property, which we could only use once we signed the closing papers. We will never use Rocket Mortgage services again, time and stress are irrecoverable.",2
Stephen,"Myrtle Beach, SC","Reviewed Dec. 1, 2022","If you have a choice of Mortgage Companies and their servicers, do EVERYTHING you can to avoid Rocket Mortgage. Their staffs are typical Detroit-breakdown. No ability to deal with you as a specific customer. Only thing that THEY SAY matters to them is to follow processes which grind down the customer, regardless of loan-to-value metrics or the customer's needs. I had an insurance claim for a new roof for $29,840 and they withheld $22,604 of it in an ESCROW account which I can't access - with no instruction or notice how to navigate their ""system"". Scammed by roofers. Scammed by insurance. And now scammed by Rocket. NOT the Dan Gilbert I know.",2
Denise,"Leavenworth, KS","Reviewed Nov. 30, 2022",Chris was very educated on the loan process. He went above and beyond to help me on the purchase of my new home. This is my first time buying a home and I am no spring chicken. I was clueless on everything. Chris walked me through it all. He even answered emails late and on weekends. I wouldn't of been able to get my house without Chris **. He was amazing.,5
Greg,"Jackson, MI","Reviewed Nov. 30, 2022",Megan ** was very helpful. The process after working with Megan got frustrating as there were about 4 or 5 other people. It got frustrating talking to so many different people. But we were overall happy with the beginning and the person who helped at the end. Sorry I don't have her name but she was a good person to close with.,4
Tim,"Syracuse, NY","Reviewed Nov. 27, 2022","I can’t speak highly enough about my experience with this company! From start to finish, they made it incredibly easy and seamless. Everything online and digital signing when possible. Contact via email or text or phone and always checking in. The online platform was super easy to navigate and use. Every single person I dealt with from start to finish was very knowledgeable and friendly and always willing to help and go above and beyond to make sure I had what I needed. I will recommend to anyone in the future and will stick with them for any future purchases.",5
Aaron,"Cape Coral, FL","Reviewed Nov. 21, 2022","I decided to give this company a try because I’ve come to know it as a ubiquitous brand in home loans. At first, everything was great and easy, everyone was super responsive. Was told by my loan handler that he doesn’t take on anyone unless he knows it’s a slam dunk. Bragged about being on CNBC (which admittedly, did make me think I was in good hands). I explained that I was a 1099 contractor and that my income has been a problem in the past. Was told to rest assured that these things will not be an issue with him handling my loan. I noticed my closing costs were exceptionally high, and when I inquired as to reason why, they were magically able to drop them by $7000 with the same interest rate.More",1
Richard,"Taylors, SC","Reviewed Nov. 19, 2022","Rocket went over the top to close on my loan. My agent was Kwesi **, he was excellent and went over and above at his job. All other support prior to closing was extremely helpful and very polite. Completely satisfied with the level of service I received.",5
Charles,"Cordele, GA","Reviewed Nov. 17, 2022",Very competent people helped walk us thru the process of securing a mortgage and kept us informed all the way thru by telling what was needed to get the loan completed. All of the staff we dealt with was very courteous and knowledgeable.,5
Terri,"Saint Clair Shores, MI","Reviewed Nov. 15, 2022",My first experience a few years ago was not good. But this one was so much better. Julie was awesome and made me feel like I was in good hands. The whole team was informative and listened to what I wanted and needed.,5
Matthew,"Lowell, MA","Reviewed Nov. 1, 2022",All employees were helpful. When calling and talking to whichever person whether Justin or Reem they always got back to me fast depending on the questions or time of day. Great team all around. Thank you for allowing me to get my first home.,5
Daenerys Stormborn,"Panama City, FL","Reviewed Oct. 28, 2022","Use extreme caution and if possible, just go with someone else. What they don't tell you: THEY WILL SELL YOUR LOAN FOR PROFIT. They will tell you nothing will change but this is NOT TRUE. Here's the story: The process started easy enough, the agent whom I was dealing with made everything sound super easy and I genuinely liked him at first. A big selling point of our home was the monthly payment. We were determined to stay within a certain range. The price we were given was a bit higher than we expected; however, the agent informed us that there was a PMI on the loan. He said that its a bit more to pay now... but being that we got SUCH a good deal on the house, we would only have to wait around a year to get this off.More",1
David,"Newark, NY","Reviewed Oct. 27, 2022","Went fairly smoothly. There were a few glitches on getting forms signed and back in a timely matter. But once everything was in closing happened pretty quickly. It would have been quicker if the payoff went to our account, and we could have paid down our creditors a lot faster.",5
Mira,"Columbus, OH","Reviewed Oct. 27, 2022","Our senior Banker, AJ, was the best. He explained every step of the process to me and made sure we were getting the best deal possible. I turned to him whenever I had a question or concern and he always took the time to listen. The process took about 60 days from applying to closing. Highly recommend Rocket Mortgage.",5
Joan,"Sultan, WA","Reviewed Oct. 26, 2022",Our experience was good. The only thing that irritated me was trying to get in touch with our contact person. I would call and leave a voice mail to call me back and she didn't. I'd call again...same lack of response. I was just about to give up the whole thing when I finally got to talk to someone who helped and from then on things went smoothly.,4
Nickki,"Spartanburg, SC","Reviewed Oct. 21, 2022","My experience with Rocket Mortgage: Before you say I should have bought with someone else...It isn't that simple and I'm not interested in hearing that because it isn't helpful so just don't go there. We bought this house with Rocket Mortgage in June 2021 with Brian on the loan and both of us on the deed, written as Joint Tenancy with Rights of Survivorship. Basically that meant if one of us died, the house would automatically belong to the other. Brian died in November. I waited to notify them because I was afraid they would foreclose on the house, but as I learned more about what happens when your spouse dies with an open mortgage, I realized Federal Law prevents a mortgage company from foreclosing on a home loan where the payments are kept current and there is a successor in interest.More",1
Randy,"Rocky Mount, NC","Reviewed Oct. 20, 2022","I recall being told that part of the monies taken out would be paid to my debtor(s). But in fact, Rocket Mortgage drafted checks and mail them to me directly. I found this to be a great inconvenience as everything is done electronically these day. ll I believe that Rocket could do better in this area. All the other lenders provide a web portal where you can enter the your debtor's name and account number and submit payment approval. Additionally, Rocket has no safety net for discriminating (racist) home appraisers.",3
Doris,"Umatilla, OR","Reviewed Oct. 2, 2022",Started refinancing in March. Jump thru every hoop they ask. We moved all of our house stuff into our attached garage due to me waiting on a liver for a transplant so when the appraisal was done they said my house was Abandoned. Which there was some stuff in the house but we were trying to remodel. After about 6 months we were denied because all of my furniture was not in the house. Worst Experience we ever had.,1
Dr Peggy,"Ventura, CA","Reviewed Oct. 1, 2022","I tried twice to pay off this company of, per their instructions, I was NOT able to accomplish that. Once was due to their dinging my wire $50 and then they said my pay off was short that amount, WTH was that about, they then also dinged me another $50 to return the wire, thank god my bank credited me back that amount but as far as every doing business with Rocket again that's very slim to NONE. They are very accommodating at the the start and then pass you along to many, many, many others to the point where you don't have any one person you can connect with that really understands you as a customer! I WILL NEVER AGAIN USE ROCKET AND I HIGHLY RECOMMEND THAT YOU DON'T EITHER!",1
Lila,"Liberty Hill, TX","Reviewed Sept. 28, 2022","Great, streamlined process! Orlando ** was our initial contact and was there throughout. Documents were only submitted once. If we had questions, the answers came promptly and completely. The few people we talked to were very knowledgeable and always courteous.",5
Debora,"Westland, MI","Reviewed Sept. 23, 2022","I loved working with Joshua **, he is the best. He makes certain whatever he tells you is consistent with what is being done. I like that. He goes the extra mile for you. Nothing but good vibes. The team was a little unorganized, but asked for the highest rating, without providing a service.",5
Carla,"Webster, TX","Reviewed Sept. 22, 2022","I had a great experience, my loan officer was the most helpful during the whole process. He made sure that if I had any questions that he did not mind to help. He was absolutely informative on everything, and communicated well with my realtor and selling agent.",5
Susan,"Abbotsford, Other","Reviewed Sept. 21, 2022","I can't believe I own a home thanks to Rocket Mortgage. My broker agent  Adrian **, went above and beyond in helping my dream become a reality. I thought owning a home would be too much for me to handle but Rocket Mortgage helped in all aspects of buying a house. They found me a good mortgage rate, and the lawyer to close the deal. Thank you.",5
Maxine,"Loma Linda, CA","Reviewed Sept. 14, 2022",Hi we refinanced our loan and they were super helpful and very kind as well. I would highly recommend them to anyone that is looking for help or a loan. Our daughter also has a loan with them as well.More,5
Roy,"Show Low, AZ","Reviewed Sept. 14, 2022",Working with Steve and crew was great. I was always kept in the loop as to the progress of my refi. In today's world it was comforting to have a great company that still has great customer service. Thank you.,5
Miranda,"Olathe, KS","Reviewed Sept. 9, 2022","Let me preface this by saying that I've worked in the mortgage industry for 5ish years. I have worked on both the title and the lender side as a closer, document reviewer, etc. I was around when the regulations switched from HUD to CD, and have written several training guides for various companies - I know the regulations and how they can be interpreted.More",1
Anwar,"Fishers, IN","Reviewed Sept. 9, 2022",Misinformation. First the Mortgage stated I would receive a 5000 and change. No one had a clue they saw 3900. After speaking with 5 people it was decided to give me 1100. That couldn't happen until they researched the calls. Also I referred a friend I was told there was referral program. 4 people stated there was a program no one got back to me on details. I spoke to manager no program exist.,1
Shawn,"Lake Park, GA","Reviewed Sept. 5, 2022","Kind and courteous, very knowledgeable. The loan team worked very hard on my behalf. They were available via email or phone daily. I'm very happy and pleased to have them as my mortgage team. I would without a doubt recommend Rocket Mortgage to others.",4
Douglas,"Albuquerque, NM","Reviewed Sept. 1, 2022",I submitted an online inquiry with and subsequently received somewhere between six and ten calls a day from you. The idea that you would attract a customer by blowing up their phone for a couple of weeks is ridiculous and I'm so annoyed by the experience that I'm not interested in hearing whether or not you can help me with a home equity loan.,1
Annette,"Centerville, UT","Reviewed Aug. 29, 2022","Everyone I worked with was wonderful. They kept me up to date on the process. The condo department dropped the ball. They inverted the phone number and was leaving messages at a wrong number. If they had listened to the recording, they would have known that. All in all, it was great, especially on such a short timeline.",5
Karen,"Kennesaw, GA","Reviewed Aug. 27, 2022","We finished making payments. We needed our escrow funds to pay our tax bill. They were supposed to transfer the funds electronically. We received an email that they would be mailing the check. Requested they overnight funds, they refused. Too stressful an experience. Terrible customer service. They do not care about customer service. Would never recommend.",1
Jennifer,"Byron, GA","Reviewed Aug. 25, 2022","During our home buying process we had a lot of ups and downs but Garett was amazing, 5⭐️. But the second agent we had Erik was not amazing. They took over two weeks to verify the HOI then over two weeks to verify my husband's employment which is the Air Force meaning he has signed his life away for the next four years. At least 4 times they threatened to move our closing date to no fault but their own not ours. It’s not only our time that was being wasted but multiple other parties' times. It was honestly unprofessional how many time we had to call and get the ball even moving up to the day before closing. If Garett had been there the whole time I think it would have been better since he actually tried to keep us in the loop and was amazing. Erik gets 2.5⭐️",3
Sandra,"Mountain Home, AR","Reviewed Aug. 23, 2022","I felt the team was engaged and stayed on top of my particular situation. The follow up was amazing and when they didn't know an answer, they told me so and then got back to me promptly. I wish my contractors had been as considerate and communicative!",5
Mike,"Warren, MI","Reviewed Aug. 20, 2022","I contacted Rocket Mortgage to get a loan for a new home. The people I worked with at rock mortgage were all very helpful, professional, and friendly. They all helped complete the mortgage process in a timely manner. 10 out of 10, would do again.",5
