Author,Location,Date,Comment,Stars
Diane,"Richardson, TX","Reviewed June 5, 2023",Andrew ** has been most helpful and genuine with each transaction we have completed. I will continue to trust Patriot Gold Group with all of my transactions and will let others know of the exceptional service provided! Patriot Gold Group can assist anyone with precious metal purchases and their product is top notch.,5
Robert,"Wilton, CT","Reviewed June 5, 2023","I worked with Frank ** at Patriot Gold. It was my first precious metals purchase so I had newbie questions. Frank was patient, answered all my questions, and I verified the answers separately and he conveyed everything correctly and honestly. It was a pleasure doing business with him.",5
David,"Ketchikan, AK","Reviewed May 31, 2023",All question were answered clear and in a timely manner. When I called they responded right away. When I left a message they called back right away with correct answer. Andrew explained the difference between buying precious coins versus bars and how the coins out performed the bars. He was really helpful.,5
Dean,"St Pete Beach, FL","Reviewed May 29, 2023","All transactions have been a great experience; accurate, enjoyable, quick. All questions were addressed. No pressure. There is a comfort knowing that you are working with professionals that know their business. I would recommend Andy at Patriot Gold to anyone. Especially now.",5
Douglas,"Athol, ID","Reviewed May 26, 2023","My experience with Patriot Gold Group was very Good. It was a direct result of Kristen **. Very thorough at explaining every part of the process. Very patient, answered every question I had. I've never done this before. What they did for me, was transfer a Roth IRA to a metals Roth IRA. It all went smoothly. I will be using Patriot Gold Group for my future purchases.",5
Justin,"Newburgh, IN","Reviewed May 26, 2023","Patriot Gold Group did a wonderful job converting my IRA into precious metals. I am so thankful to Ron and Frank. Ron returned my message and they both are very helpful and prompt with assistance anytime I need it. Looking forward to a long future with this company, and I give Frank and Ron 5 stars for their excellent work!",5
Shelby,"Albuquerque, NM","Reviewed May 23, 2023","We worked with Matthew. He was patient, while explaining the entire IRA rollover process to us. He's been available even after we've opened an account to answer any questions we may have by both email and phone. The biggest sell for us was no fees for life, which no other company has offered. We love working with this company and Matthew, and plan to buy gold just to have now as well. Effortless and easy!",5
Robert,"Ft Myers, FL","Reviewed May 19, 2023",Frank and Ron ** were very professional and made the purchase very easy. We have made purchases a number of times using both of them. Frank is very knowledgeable about the options for purchasing. Would Highly recommend them. Have dealt with both of them for a few years now. Ron is very accessible and always returns my calls/email the same day.,5
Hal,"Newman Lake, WA","Reviewed May 18, 2023","When I first reached out to Patriot Gold the investment in precious metals is a new investment option. Kristen was very helpful in coaching me thru the process. She is friendly, informed and efficient in her client care skills. Kristen is an outstanding representative for Patriot Gold. One I would definitely recommend.",5
Eugene,"Albuquerque, NM","Reviewed May 16, 2023","Luke ** was thorough, professional, friendly and ensured all my questions were answered fully. Even though I was hesitant at first, he remained quite relaxed and let me find my way to the solution I felt was best for my situation. I'm highly pleased with the experience and would recommend Luke ** and the Patriot Gold Group",5
Gary,"Tallahassee, FL","Reviewed May 10, 2023","I contacted the Patriot Gold Group in order to convert one of my retirement accounts into precious metals investment. One of the primary persons I dealt with was Will **. Will explained the whole process to me and helped me every step of the way. There was a second person that Will had me speak with, however, I don’t recall his name. Both provided me with outstanding customer service and made the process much easier.",5
Theodora,"Fort Lauderdale, FL","Reviewed April 27, 2023","I'm delighted to offer feedback on the stunning services from Kristin and Liz. Their detailed attention, feels like I'm part of the family. They have educated me to the point where I'm confident in my decisions with Patriot Gold Group. Setting up the account was seamless, everyone involved were extremely helpful, and guided me through the process. I'm so impressed, that I've recommended Patriot Gold Group to 4 of my work friends and the fellow at my bank to use your services. I'm a supplier quality engineer, to find such a solid Group to work with is refreshing. My hat is off to you all. Cheers, and you all get a big Gold star. : - )",5
Joshua,"New Knoxville, OH","Reviewed April 27, 2023","My experience working with Luke ** has been excellent. He is professional, informed, diligent, helpful, and kind. He has an ""I can do"" mindset, and he gets things done--efficiently. He is an excellent communicator, which I greatly appreciate. He never seems bothered or put out to answer my questions and explain thongs to me. He always returns calls or emails, and he follows up. He remembers my name and makes me feel like I am his only client. I'm so happy that he services my account! Go Luke!",5
Sheldon,"Battle Creek, MI","Reviewed April 25, 2023","It was a pleasure to find Patriot Gold Group to move my IRA to. The prices (premiums) were high, but I feel gold and silver will move up and make up for the difference. I was very happy with the help I received to make the change from my old company's 401 K program to one backed by precious metals.",5
John,"Havre De Grace, MD","Reviewed April 24, 2023",Andy helped me with all of the questions and concerns that I had to invest some of my retirement in gold. I am not very confident lately and I still believe gold and assets are the only real universal money when dirt hits the fan.,5
William,"Erie, CO","Reviewed April 20, 2023","The customer support was appreciated. All representatives were professional and courteous. I received information on precious metals, IRA rollover, and cash purchases. Also, I have bought and recently sold some of metals purchases. The representatives I have interfaced with include William **, Kristin **, and Andrew **. The investment in Tier 1 assets has proved to be profitable and beneficial in the short term.",5
Craig,"Bloomfield Hills, MI","Reviewed April 20, 2023","Took longer than expected for investment to post at depository. Once Patriot Goal notified of issue, resolved totally within several days. Shareholder became involved and made sure the issue was resolved quickly and completely.",5
John,"House Springs, MO","Reviewed April 18, 2023",We had a very professional experience. Everything was explained to us and all of our questions were answered. We appreciate your understanding and help while we made a decision on what we wanted to invest in. We’re happy with our decision and the help we received. Thank you.,5
Scott,"Twin Falls, ID","Reviewed April 17, 2023","I contacted the Patriot Gold Group to invest my retirement savings. After the 2008 market and during Covid-19 my 401k accounts lost most of my retirement savings. During my first telephone call, my representative Luke ** was very informative and professional. I did not feel rushed to invest. He simply provided me with all the information. It was really easy and I felt very comfortable with him. I would highly recommend this for anyone out there! For great customer service, just ask for Luke **!",5
Jeanne,"Hobe Sound, FL","Reviewed April 15, 2023","My husband and I were in a tough spot with another company, and Ron ** and Frank ** were life savers for us. They kept us informed every step of the way during our transition to Patriot Gold. I would recommend Patriot Gold to all of my friends. BEST COMPANY EVER!!!!",5
Jack,"Hoover, AL","Reviewed April 14, 2023","I rolled over an IRA with the assistance of Mathew **, he was very knowledgeable and handled everything very professionally. I will refer others to him and Patriot Gold! Since my association with Mathew was so professional, my wife sought him out to purchase an additional amount of silver.",5
Elizabeth,"Pomona, KS","Reviewed April 12, 2023",I worked with Will Manning and Andrew Clay. Both guys were very polite and informative. Everything was explained in detail and now I'm very relieved that my assets are safely invested with a huge opportunity for growth. My plan is to purchase more metals going forward. I have a 401K that I would like to roll over when I retire if that could be an option.,5
Vera,"Smithtown, NY","Reviewed April 12, 2023",I have been with Patriot Gold Group for 3 years. I am so happy I made this investment with help from Liz Lane throughout. She has always been there when I have questions and she is very knowledgeable. Liz was able to hand pick my metals to fit my needs. Patriot Gold puts their clients first. I am not usually successful with investments but Liz was able to turn a hope into a reality.,5
Laura,"Mico, TX","Reviewed April 11, 2023","Ron ** was 100% the reason I selected Patriot Gold for my son's IRA. He treated me like family and made me finally feel comfortable enough to invest my son's inheritance in Gold and silver. It was a highly stressful decision, but Ron eliminated that stress and gave me peace with my final decision. You are very lucky to have such a valuable, smart, and friendly employee! Don't ever let him go!",5
Lisa,"Fenwick, MI","Reviewed April 5, 2023",This was our first purchase of precious metals. Mathew ** was very professional and patient as we had many questions. We were comfortable with our decisions thanks to Mathew and would recommend Patriot Gold Group to Friends and family without hesitation. Thanks for your help.,5
Michael,"Fort Valley, GA","Reviewed March 29, 2023",Matt answered all of my questions and even ones not asked! He was great to work with! He was completely professional and helped us when my wife wanted to transfer her IRA as well. We would contact him again when necessary!,5
Donald,"Panama City Beach, FL","Reviewed March 28, 2023","Michael ** has been extremely helpful, utilizing his expert knowledge and courteous personal and professional demeanor to assist an inexperienced couple navigate our way through precious metals investments. I have recommended Michel and Patriot Gold to friends and family looking to protect their monetary assets during these current questionable financial times of inflation, bank instability and unsavory politicians.",5
Thomas,"Jordan, MN","Reviewed March 27, 2023",Changing my IRA to Patriot Gold was so easy with Kristen ** that I would recommend this to all my friends. I believe it is a safe place to be right now with the uncertainty of what is happening in the world. Another thank you to Kristen. Thomas **,5
James,"San Antonio, TX","Reviewed March 27, 2023","Excellent customer service from Mike **. He welcomes you on behalf of PGG, states how long the company has been in business, and they are here to help you protect your wealth and that is essential to get through, survive and thrive in the current and coming years. He lists the process to transfer your assets to their vaulted environment and follows up with throughout the process. Highly recommend PGG.",5
Cindy,"Jonesboro, AR","Reviewed March 24, 2023","When considering to purchase precious metals, I searched many sites and found Patriot Gold to be very easy to work with. They answered all my questions and provided a straightforward process for my purchase. They received a best in class service rating and we recommended by Christian Patriot News.",5
Philip,"Liberty, UT","Reviewed March 23, 2023","Andy is fast, friendly and informative. He gives me confidence that I am in good hands at Patriot Gold Group.!! I have recommended PGG to others. When I call for a valuation Andy is very helpful and I never get the impression he is bothered to answer my questions.",5
Karen,"Wetumpka, AL","Reviewed March 23, 2023",Mike was very helpful and guided me through the process of buying gold and silver. This was our first time investing in precious metals so we were very appreciative of his knowledge. He also shared that if and when we’re wanted to sell any of the Gold or Silver Patriot Gold would purchase it back.,5
Virginia,"Pottstown, PA","Reviewed March 23, 2023","Andy ** at Patriot Gold gave me stellar service with my investment. As I was a novice, he was able to answer any questions and make the process easy. I would recommend him to anyone who is looking to place their hard earned money in a reliable place. Thanks Andy!",5
Hunter,"Dunwoody, GA","Reviewed March 22, 2023",The whole metals IRA process was very smooth. Patriot Gold Group has answered all my questions and still respond quickly when I have further questions. They are upfront and transparent which I appreciate. I feel like Patriot gold group has my best needs in mind and help educate me as well.,5
James,"Cape Coral, FL","Reviewed March 22, 2023","I had initially considered buying gold with another company, but in the end I didn’t feel comfortable. I reached out to Patriot Gold Group and was connected with Matt **. He patiently answered all of my questions and gave me the confidence the other firm was missing. He made the process of the IRA rollover and the gold purchase very easy! I felt confident that I was in good hands every step of the way. In fact, I recently completed another purchase through Matt for gold and silver.",5
Carl,"Rush, NY","Reviewed March 21, 2023",Andy answered my questions with language that made it easy to understand the Gold IRA buying process and was accessible for follow up questions and concerns about setting up the accounts with Equity. He was very courteous and friendly every time we spoke and the order was done smoothly without problems or hassle.,5
Audie,"San Jose, CA","Reviewed March 20, 2023","Kristen ** was great to make sure the shipment was delivered to depository and followed up until it showed up in my Equity portfolio. From beginning to end was explain. First Liz ** and then followed by Kristen **. Great customer service, very knowable and friendly to help me the process of rolling my IRA.",5
Brenda,"Mansfield, OH","Reviewed March 20, 2023","I am highly pleased with Matt. I needed to transfer a 403B into an IRA and he helped me every step of the way. He worked with me while purchasing gold and silver, and just made the entire process very easy. He remained in contact with me and answered all my questions.",5
Sharon,"Parkville, MD","Reviewed March 17, 2023","We looked at a few companies to transfer our IRA's and we are blessed that we chose Patriot Gold. They have been efficient from the start, very easy to get in touch with & at maintaining communication with us. They care about each client and go above and beyond to assist.",5
Christine,"Houston, TX","Reviewed March 16, 2023",Both Ron ** and Frank ** have been very helpful in assisting me with my purchase of silver and gold IRA. Ron explained everything thoroughly to help me understand the process of converting my existing IRA to Patriot gold. He sent me articles to read so I can better understand the value of investing in precious metals. Frank assisted me in deciding which gold and silver to purchase and gave me tips on each item and how they have performed in the past. All in all my experience with Patriot Gold has been very positive.,5
Becky,"Burien, WA","Reviewed March 15, 2023","I saw an ad on Newsmax with Dick Morris - I called and was connected with Ron ** and Frank **. They answered all my questions, Then got me all set up to move my 401k to the IRA. They were so helpful I feel very confident working with them and am very happy with my account distributions. I look forward to many years of great service from both of them.",5
Terry,"Prosper, TX","Reviewed March 13, 2023","Patriot Gold Group made it so easy to move my funds into Gold and Silver funds. If I had questions during the process, they were they within minutes to answer emails or phone. What great team they are. Thumbs up Patriot Gold Group.",5
Jeff,"Ellington, MO","Reviewed March 2, 2023",I was very pleased with the transaction of transferring funds from my 401k fund to gold and silver. Luke was very knowledgeable and explained the process in detail. I would highly recommend family and friends to use Patriot Gold Group.,5
Dan,"Scotts, MI","Reviewed March 1, 2023","I transferred my 401k to a Gold IRA thru Patriot Gold Group, and Krystine ** walked me thru the process and she did an exceptional job explaining the process and getting me enrolled in the Gold Ira and getting me in the product that fit my needs. She was phenomenal thru the whole process. I give them 5 stars for their outstanding service.",5
Susan,"Maitland, FL","Reviewed March 1, 2023","I had contacted another company first, they had made me feel so pressured. I was not comfortable and would not move forward with them. On my first call to Patriot Gold I could tell the experience was going to be far different, and it was. From beginning to end my questions were answered and I was never pressured nor pushed to move faster than I felt comfortable going. I would definitely recommend Patriot Gold to anyone.",5
Laurence,"Westminster, MD","Reviewed Feb. 27, 2023","After researching several companies to convert my retirement funds to precious metals, I felt that Patriot Gold group was a good fit after speaking with Matt. He guided me on how the process would work in great detail. Once I made the decision execute the moving of my funds to the IRA, Matt made it very easy. Matt was able to maximize my purchase based on the funds that I was committing to securing my finances. Whenever I had a question, Matt was able to provide a detailed explanation which made me feel very comfortable with dealing with Patriot Gold. This has been a great experience for me, as I had never considered buying precious metals before. Thanks Matt for your guidance.",5
Robert,"Boerne, TX","Reviewed Feb. 27, 2023",I am very happy with the service from your company. If I have any issues or concerns all I have to do is call Andy **. Andy always assist me and follows up to make sure everything came out satisfactory. I would recommend to my family and friends.,5
Ann,"Greensboro, NC","Reviewed Feb. 22, 2023","In working with Patriot Gold to rollover an IRA, I found the representatives to be very knowledgeable about their products and about the conditions that exist in our economy. They guided me through the process and offered me advice on metals to choose. I couldn't have asked for a better team for guidance.",5
George,"Mchenry, IL","Reviewed Feb. 22, 2023","Working with Ron ** was a pleasure, and very informative. Charlie also was very helpful and made the process easy, and simple. I’ve recommended them to my friends, and family. There always there for me, and always call me back, in a very timely matter.",5
William,"Jacksonville, FL","Reviewed Feb. 15, 2023",The representatives that I dealt with were knowledgeable and answered all of my questions. They also encouraged me to call anytime if I had additional questions. I would recommend Patriot Gold Group to others. Thank you for the great service.,5
Michele,"Cleveland, TX","Reviewed Feb. 14, 2023",Everyone at Patriot Gold was amazing. Prompt service and answered all my questions thoroughly. They made me feel confident in rolling over my simple IRA to a precious metal IRA. Highly recommend this group If anyone wants to protect their investments and learn more on how to diversify their portfolio and secure their future.,5
Jarod,"Springboro, OH","Reviewed Feb. 2, 2023","My experience with Patriot Gold Group was excellent. From the initial consultation and throughout the entire process, I received top notch customer service and follow up. It was a pleasure working with the team on a precious metals IRA rollover.",5
Kathleen,"El Paso, TX","Reviewed Feb. 2, 2023","I had researched many companies in making this decision. I had spoken with several representatives from different companies. Ron ** from Patriot Gold Group was by far the best, easiest, most helpful and informed person I spoke with. No hard sales, just good information, answered lots of questions, had great follow up and just nice to speak to. When you are talking about your investments TRUST is most important. I trust Ron and the Patriot Gold Group. I would highly recommend talking with them about protecting your financial assets.",5
Gayla,"Albuquerque, NM","Reviewed Jan. 26, 2023",My experience with Patriot Gold was very satisfying. The gentlemen that I spoke with were both helpful and hard working. They saw to it that the transaction completed as fast as possible. I would recommend anyone to use Patriot Gold.,5
Phil,"Cleveland, GA","Reviewed Jan. 24, 2023","Very quick response time, knowledgeable and professional staff walked me through every stage of the process and answered all my questions. I'm new to the precious metals world, and I am very pleased with my experience with Patriot Gold Group.",5
Brian,"Atwater, CA","Reviewed Jan. 24, 2023",Patriot Gold went well above and beyond all my expectations on assisting me with the transfer of my deferred comp. into a gold/silver IRA. Every step of the process was quick and smooth! Ron and crew did an excellent job!,5
Doug,"Renton, WA","Reviewed Jan. 23, 2023",I was a little unsettled at first since I've not done online investing before. Once I began speaking with an account manager it was obvious I was working with a company that was serious about making sure I was not only comfortable but informed. A very pleasant conversation that lead to an IRA fund transfer to silver and gold with Patriot Gold Group. The follow ups have been pleasant and questions I had were answered.,5
Karen,"Wakefield, RI","Reviewed Jan. 11, 2023",Mike is super helpful and patiently took the time to explain to me what I needed to do to complete the IRA purchase. His comprehensive knowledge makes you feel secure in your purchase. I look forward to a long relationship with him.,5
